line,NC,X,Y,Z,A,B,C,R,F,vX,vY,vZ,vA,vB,vC,time,cumulative time
78,A-143.813,0.0000000000,0.0000000000,26.0000000000,-143.8130000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1371332533
79,A-144.726,0.0000000000,0.0000000000,26.0000000000,-144.7260000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1375470464
80,A-145.638,0.0000000000,0.0000000000,26.0000000000,-145.6380000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1379612932
81,A-146.551,0.0000000000,0.0000000000,26.0000000000,-146.5510000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1383750863
82,A-147.463,0.0000000000,0.0000000000,26.0000000000,-147.4630000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1387893331
83,A-148.376,0.0000000000,0.0000000000,26.0000000000,-148.3760000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1392031262
84,A-149.288,0.0000000000,0.0000000000,26.0000000000,-149.2880000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1396173731
85,A-150.201,0.0000000000,0.0000000000,26.0000000000,-150.2010000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1400311662
86,A-151.113,0.0000000000,0.0000000000,26.0000000000,-151.1130000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1404454130
87,A-152.024,0.0000000000,0.0000000000,26.0000000000,-152.0240000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.1408592061
88,A-152.936,0.0000000000,0.0000000000,26.0000000000,-152.9360000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1412725455
89,A-153.848,0.0000000000,0.0000000000,26.0000000000,-153.8480000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1416863386
90,A-154.76,0.0000000000,0.0000000000,26.0000000000,-154.7600000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1421001317
91,A-155.671,0.0000000000,0.0000000000,26.0000000000,-155.6710000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.1425139248
92,A-156.583,0.0000000000,0.0000000000,26.0000000000,-156.5830000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1429272642
93,A-157.495,0.0000000000,0.0000000000,26.0000000000,-157.4950000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1433410573
94,A-158.407,0.0000000000,0.0000000000,26.0000000000,-158.4070000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1437548504
95,A-159.319,0.0000000000,0.0000000000,26.0000000000,-159.3190000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1441686435
96,A-160.231,0.0000000000,0.0000000000,26.0000000000,-160.2310000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1445824366
97,A-161.143,0.0000000000,0.0000000000,26.0000000000,-161.1430000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1449962297
98,A-162.055,0.0000000000,0.0000000000,26.0000000000,-162.0550000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1454100228
99,A-162.967,0.0000000000,0.0000000000,26.0000000000,-162.9670000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1458238159
100,A-163.879,0.0000000000,0.0000000000,26.0000000000,-163.8790000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1462376090
101,A-164.791,0.0000000000,0.0000000000,26.0000000000,-164.7910000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1466514021
102,A-165.703,0.0000000000,0.0000000000,26.0000000000,-165.7030000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1470651952
103,A-166.616,0.0000000000,0.0000000000,26.0000000000,-166.6160000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1474789883
104,A-167.528,0.0000000000,0.0000000000,26.0000000000,-167.5280000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1478932351
105,A-168.44,0.0000000000,0.0000000000,26.0000000000,-168.4400000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1483070282
106,A-169.352,0.0000000000,0.0000000000,26.0000000000,-169.3520000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1487208213
107,A-170.264,0.0000000000,0.0000000000,26.0000000000,-170.2640000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1491346144
108,A-171.177,0.0000000000,0.0000000000,26.0000000000,-171.1770000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1495484075
109,A-172.089,0.0000000000,0.0000000000,26.0000000000,-172.0890000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1499626544
110,A-173.001,0.0000000000,0.0000000000,26.0000000000,-173.0010000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1503764475
111,A-173.914,0.0000000000,0.0000000000,26.0000000000,-173.9140000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1507902406
112,A-174.826,0.0000000000,0.0000000000,26.0000000000,-174.8260000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1512044874
113,A-175.739,0.0000000000,0.0000000000,26.0000000000,-175.7390000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1516182805
114,A-176.651,0.0000000000,0.0000000000,26.0000000000,-176.6510000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1520325273
115,A-177.564,0.0000000000,0.0000000000,26.0000000000,-177.5640000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1524463204
116,A-178.476,0.0000000000,0.0000000000,26.0000000000,-178.4760000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1528605673
117,A-179.389,0.0000000000,0.0000000000,26.0000000000,-179.3890000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1532743604
118,A179.699,0.0000000000,0.0000000000,26.0000000000,179.6990000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,2204.000000,0.000000,0.000000,0.1629255898,0.1536886072
119,A178.787,0.0000000000,0.0000000000,26.0000000000,178.7870000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3166141970
120,A177.875,0.0000000000,0.0000000000,26.0000000000,177.8750000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3170279901
121,A176.963,0.0000000000,0.0000000000,26.0000000000,176.9630000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3174417832
122,A176.052,0.0000000000,0.0000000000,26.0000000000,176.0520000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.3178555763
123,A175.14,0.0000000000,0.0000000000,26.0000000000,175.1400000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3182689157
124,A174.228,0.0000000000,0.0000000000,26.0000000000,174.2280000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3186827088
125,A173.316,0.0000000000,0.0000000000,26.0000000000,173.3160000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3190965019
126,A172.404,0.0000000000,0.0000000000,26.0000000000,172.4040000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3195102950
127,A171.492,0.0000000000,0.0000000000,26.0000000000,171.4920000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3199240881
128,A170.58,0.0000000000,0.0000000000,26.0000000000,170.5800000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.3203378812
129,A169.669,0.0000000000,0.0000000000,26.0000000000,169.6690000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.3207516743
